Period ID,Product ID,Channel ID,Sales Type ID,KPI Flag ID,Category ID,Product Pack,KPI Value
202201,28,5,1,1,6,Standard,216.39
202201,28,5,1,2,6,Standard,1446.55
202201,28,5,2,1,6,Standard,25.89
202201,28,5,2,2,6,Standard,4677.64
202201,28,4,1,1,6,Standard,1102.54
202201,28,4,1,2,6,Standard,159.78
202201,28,4,2,1,6,Standard,114.09
202201,28,4,2,2,6,Standard,69.15
202201,28,1,1,1,6,Standard,186.23
202201,28,1,1,2,6,Standard,130.92
202201,28,1,2,1,6,Standard,302.43
202201,28,1,2,2,6,Standard,114.67
202201,28,2,1,1,6,Standard,891.82
202201,28,2,1,2,6,Standard,189.69
202201,28,2,2,1,6,Standard,119.96
202201,28,2,2,2,6,Standard,558.05
202201,28,3,1,1,6,Standard,23.3
202201,28,3,1,2,6,Standard,245.79
202201,28,3,2,1,6,Standard,168.34
202201,28,3,2,2,6,Standard,30.03
202201,113,2,1,1,2,Gift,193.87
202201,113,2,1,2,2,Gift,528.09
202201,113,2,2,1,2,Gift,459.28
202201,113,2,2,2,2,Gift,344.95
202201,113,4,1,1,2,Gift,165.82
202201,113,4,1,2,2,Gift,175.77
202201,113,4,2,1,2,Gift,21.4
202201,113,4,2,2,2,Gift,55.41
202201,113,5,1,1,2,Gift,215.39
202201,113,5,1,2,2,Gift,69.14
202201,113,5,2,1,2,Gift,373.13
202201,113,5,2,2,2,Gift,285.84
202201,4,4,1,1,1,Standard,307.41
202201,4,4,1,2,1,Standard,223.55
202201,4,4,2,1,1,Standard,27.03
202201,4,4,2,2,1,Standard,640.53
202201,4,2,1,1,1,Standard,94.17
202201,4,2,1,2,1,Standard,602.78
202201,4,2,2,1,1,Standard,676.93
202201,4,2,2,2,1,Standard,73.06
202201,4,1,1,1,1,Standard,510.29
202201,4,1,1,2,1,Standard,105.86
202201,4,1,2,1,1,Standard,106.62
202201,4,1,2,2,1,Standard,222.36
202201,4,3,1,1,1,Standard,229.68
202201,4,3,1,2,1,Standard,170.98
202201,4,3,2,1,1,Standard,32.92
202201,4,3,2,2,1,Standard,141.11
202201,61,4,1,1,7,Standard,463.59
202201,61,4,1,2,7,Standard,580.48
202201,61,4,2,1,7,Standard,31.99
202201,61,4,2,2,7,Standard,92.94
202201,61,5,1,1,7,Standard,49.13
202201,61,5,1,2,7,Standard,1510.31
202201,61,5,2,1,7,Standard,613.35
